Clave,Descripción,Línea,Existencias,Modelo,Talla,Color,Cuenta contable,Clave alterna
ZOETIS-168,LUTALYSE HC  100ML,ZOETI,3,,,,,
ZOETIS-167,CYTOPOINT 10MG 2 VIALES,PQZOE,3,,,,,
ZOETIS-166,TROCOXIL TAB. 75MG,PQZOE,0,,,,,
ZOETIS-165,SIMPARICA 80MG 1 TABLETA 20-40 KG,PQZOE,59,,,,,
ZOETIS-164,SIMPARICA 40MG 1 TABLETA 10-20 KG -1643,PQZOE,58,,,,,
ZOETIS-163,SIMPARICA  20MG 1 TABLETA 5-10 KG -1642,PQZOE,67,,,,,
ZOETIS-162,SIMPARICA 10 MG 1 TABLETA 2.5-5 KG -1641,PQZOE,51,,,,,
ZOETIS-159,REVOLUTION PLUS .5ML 3/PIPETAS 2.5 -5KG,PQZOE,7,,,,,
ZOETIS-158,REVOLUTION PLUS .25ML C/3 PIPETA 2.5KG,PQZOE,3,,,,,
ZOETIS-157,AUROFAC 200 25KG,ZOETI,1,,,,,
ZOETIS-155,VANGUARD DA2L 1 DS,PQZOE,0,,,,,
ZOETIS-154,DISPOSITIVO CIDR BOVINO DIB 1G X10,ZOETI,8,,,,,
ZOETIS-153,SIMPARICA TRIO 72MG 40-60KG 3 TAB,PQZOE,53,,,,,
ZOETIS-152,SIMPARICA TRIO 48MG 20.1-40KG 3TAB -1648,PQZOE,165,,,,,
ZOETIS-151,SIMPARICA TRIO 24MG 10.1-20KG 3TAB -1647,PQZOE,171,,,,,
ZOETIS-150,SIMPARICA TRIO 12MG  5.1-10KG 3 TAB.,PQZOE,29,,,,,
ZOETIS-149,DRAXXIN KP 250ML   10022336,ZOETI,0,,,,,
ZOETIS-147,ONE SHOT DVB 50 DS,ZOETI,3,,,,,
ZOETIS-146,ONE SHOT BVD 10 DS  10009254  DVB,ZOETI,15,,,,,
ZOETIS-144,ZYLEXIS 1 DS,PQZOE,37,,,,,
ZOETIS-143,RIMADYL MASTICABLE 75MG 60 TAB,PQZOE,5,,,,,
ZOETIS-142,DRAXXIN KP 500,ZOETI,0,,,,,
