Producto,Descripción,U. de S.,Precio público,precio de lista 4
AGROVET-00,VITANHEGRA B-12 10 ML,pz,67.8,44.07
AGROVET-002,VITANHEGRA B-12 20 ML,pz,102.6,66.69
AGROVET-003,DEXA-ESTREPTOVET 50 MILL,pz,920.0,598.0
AGROVET-004,VITANHEGRA B-12 50 ML,pz,194.0,126.1
AGROVET-005,DEXA-ESTREPTOVET 6 MILL,pz,228.0,148.2
AGROVET-006,VITANHEGRA B-12 100 ML,pz,307.0,199.55
AGROVET-007,VITANHEGRA B-12 250 ML,pz,610.0,396.5
AGROVET-010,DEXA-ESTREPTOVET 2 MILL,pz,139.0,90.35
AGROVET-011,DEXA-ESTREPTOVET 4 MILL,pz,194.0,126.1
AGROVET-012,CREMA DON RICARDO PLUS 120 ML,pz,340.0,238.0
AGROVET-013,CREMA DON RICARDO PLUS 60 ML,pz,214.0,149.8
AGROVET-018,PIROXIVET +B-12 30 ML,pz,277.0,180.05
AGRSALUD-,AMINO ASA 34X 250ML,pz,481.0,283.0
AGRSALUD-,ENERGY 500ML,pz,402.0,236.0
ALIMENTO-014,SUPER CRIA VITAMINADA 5 KG,pz,0.0,178.0
ALIMENTO-015,SUPER CRIA 450 GR,PIEZA,0.0,162.5
ALIMENTO-034,SUPER CRIA KITTENS 360 GR.,PIEZA,0.0,297.41
ALPHACHEM-,CRONVAL HD 5MG,pz,1542.0,1156.5
ALPHACHEM-,TRIOXIL 800MCG 100 TAB     APE310,pz,460.0,
ALPHACHEM-,MELOXICAM 1MG 100 TAB,pz,1044.0,783.0
ALPHACHEM-,HEMOSYLAT  C/10 PZA. C/2ML,pz,494.0,370.5
ALPHACHEM-,TRIOXIL 200,pz,326.0,244.5
ALPHACHEM-,LEIDOFS 100 90 Tabletas  APE200,pz,609.0,456.75
ALPHACHEM-,LEIDOFS 400 90 Tabletas  APE210,pz,1638.0,1228.5
ALPHACHEM-,TRIOXIL 500 MCG 100 TAB      APE300,pz,388.0,291.0
ALPHACHEM-,SILDAN HP ORAL SUSP 50ML,pz,402.0,301.5
ALPHACHEM-,LEIDOFS PERRO SOLUCION 50ML,pz,310.0,232.5
ALPHACHEM-,TEDIUR 24 C/30 TABLETAS,pz,326.0,244.5
ALPHACHEM-,MELOXICAM 4MG 100 TABLETAS,pz,1558.0,1168.5
ALPHACHEM-,MELOXICAM 2MG 100 TAB,pz,0.0,0.0
ANDOCI-001,FIBROCINE 50 ML.,pz,443.0,287.95
ANDOCI-002,HEMOPLEX 100 ML.,pz,523.0,339.95
ANDOCI-003,HEMOPLEX 250 ML.,pz,909.0,590.85
ANDOCI-004,KOAGUSAN 50 ML.,pz,183.0,118.95
ANDOCI-005,TIMPAKAPS 475 ML.,pz,529.0,343.85
ANDOCI-006,UBRICINA 5 MILL,pz,209.0,135.85
ANDOCI-007,KOAGUSAN 25 ML,pz,133.0,86.45
ANDOCI-008,KOAGUSAN 100 ML,pz,269.0,174.85
ANDOCI-009,LOCION ANTIVERRUGAS  100ML.,pz,233.0,
ANDOCI-010,UBRICINA INFUSION 10 ML (JERINGA),PIEZA,63.25,41.11
ANDOCI-011,FIBROCINE 100 ML,pz,706.0,458.9
ANDOCI-013,TIMPAKAPS-225 ML,pz,309.0,200.85
ANDOCI-014,TIMPAKAPS 100 ML,pz,243.0,157.95
ANDOCI-015,UBRICINA LACTACION PLUS (JERINGA),pz,69.29,45.04
ANDOCI-016,HEMOPLEX 50 ML,pz,359.0,233.35
ANDOCI-018,VERMICELL TABL 1 COMP,pz,4.83,3.14
ANDOCI-021,AVEFENICOL ST 20 ML,pz,129.0,83.85
ANDOCI-022,AVEFENICOL ST 100 ML,pz,176.0,114.4
ANDOCI-026,CANVITAL 180 GRS,pz,289.0,187.85
ANDOCI-029,CLOSIVER ADE+B12 250 ML,pz,2163.0,1405.95
ANDOCI-030,CLOSIVER ADE + B12 50 ML,pz,589.0,382.85
ANDOCI-031,HEMOPLEX 10 ML,pz,169.0,109.85
ANDOCI-034,VERMICELL GALLOS 1 TABLETA,pz,3.43,2.23
ANGLO-001,VERMIFUGO DEL DR. BIXLER 100 CAP,pz,0.0,407.7
ARANDA-001,PARAFEN SUSP. 12.5% 1 LTO,pz,1897.0,921.4
ARANDA-002,ZEEFOTAX 300MG,pz,0.0,0.0
ARANDA-003,OCUSOL POLVO 30 GR,pz,169.0,82.09
ARANDA-005,TRIFEN PLUS 25 TABLETAS,pz,86.0,41.77
ARANDA-006,TRIFEN PLUS 50 CAPS,pz,142.0,
ARANDA-007,ASCORBOL PLUS 50 CAPS,pz,189.0,91.8
ARANDA-008,ASCORBOL PLUS 100 CAPS,pz,282.0,136.97
ARANDA-009,BALSAMO BLANCO 100 GRS,pz,144.0,69.94
ARANDA-010,BALSAMO BLANCO 240 GRS,pz,307.0,149.11
ARANDA-011,TRIFEN PLUS 100 TABLETAS,pz,198.0,96.17
ARANDA-012,IVERFULL 10 ML,pz,85.0,41.29
ARANDA-013,EUYACOL FORTE 100 ML,pz,268.0,130.17
ARANDA-014,EUYACOL FORTE 50 ML,pz,179.0,86.94
ARANDA-015,PURGANTE ROJO 227 GRS,pz,186.0,90.34
ARANDA-018,ASCORBOL INY 10 ML,pz,94.0,45.66
ARANDA-019,IVERFULL 100 ML,pz,344.0,167.09
ARANDA-020,IVERFULL MACROVIT ADE 10 ML,pz,125.0,60.71
ARANDA-021,IVERFULL PASTA 32 GRS,pz,255.0,123.86
ARANDA-022,IVERFULL PASTA VITAMINADO 32gr,pz,298.0,144.74
ARANDA-024,IVERFULL POLVO 10 GRS,pz,38.68,18.79
ARANDA-027,IVERFULL MACROVIT ADE 100 ML,pz,622.0,302.11
ARANDA-028,IVERFULL MACROVIT ADE 500 ML,pz,2049.0,995.23
ARANDA-030,L- VERMIZOL 12%  VIT. 100 ML,pz,288.0,139.89
ARANDA-032,IVERFULL 240 ML,pz,694.0,337.09
ARANDA-033,IVERFULL 500 ML,pz,1097.0,
ARANDA-034,RAN-TAC 100 ML,pz,128.0,62.17
ARANDA-035,FERRAJET 10% 20 ML,pz,144.0,69.94
ARANDA-036,LASARNOL 120 ML,pz,199.0,96.66
ARANDA-037,PERVINAL JARABE 250 ML,pz,175.0,85.0
ARANDA-038,YODO DESINFECTANTE 120 ML,pz,148.0,71.89
ARANDA-039,BEBIDA UNIVERSAL 300 ML P/ TOS,pz,204.0,99.09
ARANDA-040,NECAIN 10 ML,pz,86.0,58.48
ARANDA-041,ZURI-COX 5% 100ML,pz,389.0,188.94
ARANDA-043,ABSORVET 460ML,pz,386.0,187.49
ARANDA-051,SUPER CHEVINAL TRIPLE A 1LTO,pz,668.0,324.46
ARANDA-052,SHAMPOO PARA CABALLO ZABILA 1 LTO,pz,309.0,150.09
ARANDA-053,PARAFEN PASTA 10% 32G.,pz,217.0,105.4
ARANDA-054,POMADA YODADA 240 G,pz,288.0,139.89
ARANDA-055,LAXA PET 100 GR,pz,218.0,148.24
ARANDA-056,BEEF-SE 100 ML,pz,409.0,198.66
ARANDA-059,PARAFEN SUSPENSION 3% 60ML,pz,112.0,54.4
ARANDA-061,NEUMOXOL 20 ML,pz,149.0,72.37
ARANDA-063,NEUMOXOL 100ML,pz,459.0,222.94
ARANDA-066,OFTOFLOX 30ML,pz,149.0,72.37
ARANDA-067,SANITOR FORTE 120 ML,pz,134.0,
ARANDA-069,TRIFEN L VITAMINADO 75 TAB,pz,0.0,0.0
ARANDA-070,FERRAJET 100ML,pz,409.0,198.66
ARANDA-071,COMPLEJO B REFORZADO 100ML,pz,257.0,124.83
ARANDA-072,IVERFULL TAB.10KG BLISTER C/6 TAB. 400MG,pz,122.0,59.26
ARANDA-073,MELODEX PETS .5% 20ML,pz,169.0,114.92
ARANDA-074,MELODEX GOTAS 10ML,pz,81.0,55.08
ARANDA-076,MELODEX TAB C/30,pz,254.0,172.72
ARANDA-077,OXITOCIN 10 ML,pz,79.0,38.37
ARANDA-078,BOLOS UTERINOS DE SULFA UREA 13GR C/25,pz,829.0,402.66
ARANDA-080,CLAVOXIVET 20 TABLETAS,pz,304.0,206.72
ARANDA-081,CLAVOXIVET SUSPENSION 60ML,pz,309.0,210.12
ARANDA-084,DIRO PETS INY. 20ML 0012301008,pz,140.0,95.2
ARANDA-085,ALVEUM 100ML,pz,189.0,128.52
ARANDA-086,TALCO PARA AVES CLEAN GUARD 100GR,pz,150.0,102.0
ARANDA-087,BEBIDA UNIVERSAL 100ML PARA LA TOS,pz,128.0,87.04
ARANDA-088,DIRO PETS PUPPY CARTERA C/8 TAB. colecti,CART,104.0,70.72
ARANDA-090,COMPLEJO B REFORZADO 50ML,pz,168.0,81.6
ARANDA-101,FERRAJET 50ML,pz,249.0,120.94
AVENTIS-001,MAXFORCE GEL JGA. C/ 30 GR.,pz,0.0,227.59
BAYER-003,BAMITOL 200 GR.,pz,333.9,
BAYER-004,CATOSAL 100 ML,pz,882.96,618.8
BAYER-005,CATOSAL 250 ML.,pz,1870.96,1310.4
BAYER-006,ADVANTAGE MULTI 1X 8ML GATO,pz,459.51,302.4
BAYER-007,ADVANTAGE MULTI 1X0.4 ML CAT    81483108,pz,421.81,272.16
BAYER-008,VIGANTOL ADE FTE. 500 ML.,pz,3755.38,2734.65
BAYER-009,YATREN CASEINA FTE. 100 ML,pz,553.28,387.92
BAYER-010,BOLFO SHAMPOO,pz,312.79,221.4
BAYER-012,CALFON FTE. 100 ML.,pz,463.22,330.72
BAYER-013,ASUNTOL JABON,pz,97.81,63.72
BAYER-014,VIGANTOL ADE  FTE 25 ML,pz,329.6,237.93
BAYER-015,BOLFO POLVO 100 GR,pz,191.55,122.04
BAYER-016,BAYTICOL DIP 3% 100 ML,pz,341.19,196.88
BAYER-017,DRONTAL PLUS FLAVOUR 1TAB 10KG (de 102ta,PIEZA,47.18,32.02
BAYER-019,BAYCOX 5% SUSP. 250ML,pz,2438.64,1758.24
BAYER-022,CATOSAL 50 ML,pz,564.72,395.2
BAYER-024,SUPER BOLFO REFORZADO AEROSOL,pz,235.36,162.0
BAYER-026,ASUNTOL 100 ML,pz,287.19,187.2
BAYER-027,SERESTO COLLAR GRANDE,pz,1084.0,684.76
